Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2021-07-21,2462.29,111.28,8.2,522.84,242.52,699.88,368.2,2.62,608.45,1965.01
2021-07-22,2856.63,73.99,5.47,600.01,398.75,211.61,547.86,1.58,574.56,1050.31
2021-07-23,2866.64,39.43,1.77,522.15,392.23,204.28,627.5,5.1,479.31,1017.28
2021-07-24,2813.29,73.75,3.76,665.22,275.75,362.35,636.63,3.67,793.05,952.5
2021-07-25,3029.47,82.93,3.81,596.99,344.47,233.26,375.35,5.78,797.09,1004.78
2021-07-26,2482.83,120.66,10.12,370.6,164.85,494.49,1516.34,2.84,485.83,1457.89
2021-07-27,2402.93,870.72,3.61,246.17,196.56,401.42,1332.52,6.17,410.21,841.12
2021-07-28,2634.89,157.82,7.05,284.77,152.74,473.31,712.15,2.3,313.34,650.06
2021-07-29,2141.88,204.52,6.08,378.99,184.35,389.06,595.87,0.37,414.31,604.14
2021-07-30,2420.76,464.09,11.97,422.35,199.85,724.37,357.33,9.89,531.43,1169.2
2021-07-31,2616.87,65.25,6.06,497.81,297.68,489.84,926.98,1.3,682.17,1167.15
2021-08-01,3261.76,114.69,11.78,774.02,341.19,251.08,1407.55,14.3,757.14,1837.02
2021-08-02,2265.43,20.85,5.32,356.51,144.4,544.11,463.72,14.81,449.71,1758.95
2021-08-03,2358.2,206.42,11.31,316,154.63,491.16,306.29,0.6,335.8,745.77
2021-08-04,2225.85,271.5,1.08,470.59,204.73,533.26,405.57,1.69,412.45,719.54
2021-08-05,2437.29,390.31,1.16,231.71,164.15,455.48,473.72,1.29,385.36,876.39
2021-08-06,2550.31,61.9,1.19,331.83,174.94,515.69,469.94,2.3,383.81,834.93
2021-08-07,2972.68,29.46,5.17,373.92,378.41,396.9,551.91,2.41,632.09,926.81
2021-08-08,2889.72,86.93,4.28,414.65,293.01,150.32,635,1.13,464.3,707.57
2021-08-09,2616.94,8.22,2.1,452.79,232.57,163.1,634,15.24,382.8,581.37
2021-08-10,2836.35,185.06,0.84,603.3,264.22,642.73,337.58,3.82,522.52,1131.02
2021-08-11,2791.91,127.25,7.77,400.52,172.41,574.95,346.14,1.29,509.08,672.86
2021-08-12,2952.55,122.2,3.89,1201.81,164.3,384.6,369.47,1.58,684.29,750.38
2021-08-13,3133.09,175.88,3.55,335.02,226.62,339.43,300.28,0.28,640.72,1659.63
2021-08-14,2919.07,15.33,2.72,484.21,207.67,201.16,289.93,1.5,542.53,804.48
2021-08-15,2855.49,36.12,7.12,303.02,173.56,173.01,302.13,0.63,520.8,865.66
2021-08-16,2618.99,73.16,0.37,335.44,178.61,517.93,405.14,1.21,612.99,1510.58
2021-08-17,2161.82,938.88,0.37,323.25,144.57,541.56,320.93,3.11,323.39,763.83
2021-08-18,2240.87,134.01,4.2,332.87,154.32,454.57,254.24,0.63,405.85,803.99
2021-08-19,2209.82,61.09,0.34,238.59,142.54,470.74,394.48,0.56,325.26,614.94
2021-08-20,2546.24,286.31,1.59,309.67,231.36,597.39,355.28,1.48,368.2,1600.14
2021-08-21,2877.73,270.51,1.88,465.05,248.74,413.36,915.17,2.4,590.86,1175.59
2021-08-22,2781.09,17.06,2.21,689.63,253.69,288.09,675.25,5.73,418.46,565.79
2021-08-23,2151.56,143.41,7.27,348.23,109.9,596.47,1492.46,1.47,379.49,797.32
2021-08-24,2317.63,122.94,9.02,235.79,142.19,653.88,264.04,0.85,308.62,756.33
2021-08-25,2400.46,238.83,1.44,289.86,187.91,652.41,371.38,1.82,486.32,1954.45
2021-08-26,2238.98,91.11,13.34,279.79,179.84,419.28,346.01,1.26,355.24,776.78
2021-08-27,2476.98,935.94,5.47,491.61,170.15,467.51,555.19,1.84,517.08,901.13
2021-08-28,2906.81,131.38,9.88,508.58,203.67,380.79,1621.71,2.83,467.01,656.74
2021-08-29,2890.8,44.88,3.65,398.6,234.67,244.68,1136.24,0.63,580.34,588
2021-08-30,2132.06,185.64,1.52,321.75,164.73,456.16,336.2,0.74,219.64,536.51
2021-08-31,2220.49,1370.43,4.56,579.01,125.08,489.82,737.55,20.94,288.55,882.4
2021-09-01,2497.12,526.11,5.24,319.48,160.67,538.83,398.22,3.39,356.6,2249.64
2021-09-02,2008.35,94.44,11.4,243.81,135.99,379.35,352.79,0.11,400.96,726.48
2021-09-03,2265.19,703.69,3.45,210.41,179.98,498.14,429.21,3.74,298.96,841.42
2021-09-04,2881.23,111.04,3.16,468.12,266.16,429.62,475.32,3.97,412.83,795.65
2021-09-05,3055.13,19.76,4.91,511.49,261.02,332.53,557.53,3.45,694.23,912.6
2021-09-06,2131.15,137.18,5.95,334.25,171.59,544.45,534.51,0.69,315,1237.25
2021-09-07,2340.51,288.34,0.75,329.16,178.1,568.89,299.36,2.25,275.04,535.43
2021-09-08,2069.27,295.75,5.49,308.78,216.71,551.6,256.48,1.25,269.9,519.99
2021-09-09,2146.72,92.53,11.27,219.65,160.31,470.66,281.3,4.48,337.63,761.63
2021-09-10,2451.32,97.19,4.18,220.39,294.96,718.52,626.5,17.29,463.01,1072.72
2021-09-11,3061.42,44.84,6.41,409.93,260.86,377.55,457.76,13.98,741.95,834.84
2021-09-12,3006.98,15.86,24.08,468.35,377.07,166.42,376.5,0.98,607.54,665.95
2021-09-13,2142.71,250.49,0.85,255.89,169.56,499.04,1769.52,1.62,274.17,608.77
2021-09-14,2129.52,162.36,3.58,246.6,157.49,550.14,329.25,3.06,282.92,512.93
2021-09-15,2284.24,673.68,2.66,268.14,143.64,740.69,507.81,2.8,391.39,1490.11
2021-09-16,2485.32,95.55,24.97,394.31,206.97,644.56,1431.94,4.17,354.93,1433.66
2021-09-17,2495.71,151.03,1.68,353.9,246.19,497.68,425.24,1.52,547.08,954.34
2021-09-18,2772.28,26.77,2.02,414.9,297.72,376.47,943.36,3.22,437.32,681.37
2021-09-19,3221.34,304.51,2.89,411.68,495.5,197.31,425.53,4.99,654.02,721.16
2021-09-20,2979.68,71.93,3.22,387.1,248.16,268.54,739.43,2.18,535.28,1152.7
2021-09-21,2569.03,190.03,11.32,267.22,158.2,458.31,284.48,3.8,378.27,1541.11
2021-09-22,2194.88,546.87,2.96,251.57,185.43,518.98,247.03,5.73,430.26,895.4
2021-09-23,2769.64,112.54,3.01,444.52,252.43,187.3,348.45,2.59,471.63,670.17
2021-09-24,2501.69,81.12,2.88,314.16,191.63,824.27,964.04,0.86,456.68,2344.47
2021-09-25,3004.72,80.47,6.98,382.09,300.76,357.22,455.75,3.87,469.37,1118.44
2021-09-26,2804.27,35.09,4.95,366.68,433.82,227.94,470.03,2.63,481.8,949.26
2021-09-27,2201.17,1041.59,8.49,249.99,230.19,709.03,592.08,4.62,537.99,1069.52
2021-09-28,2339.17,221.55,2.41,297.75,158.69,535.44,378.07,1.45,306.97,766.54
2021-09-29,2237.48,207.89,9.62,232.12,171.65,499.27,312.2,2.1,388.76,729.9
2021-09-30,2259.41,965.31,3.02,318.36,190.01,480.65,494.87,4.95,425.41,1245.09
2021-10-01,2151.13,60.37,11.06,265.2,148.95,438.71,391.64,10.12,472.79,2597.23
2021-10-02,3182.05,376.74,15.79,343.1,333.98,509.15,552.44,3.12,633.45,767.37
2021-10-03,3198.06,94.87,4.5,516.12,331.44,180.84,471.51,2.82,738.43,824.81
2021-10-04,2123.48,348.07,5.48,213.87,176,472.85,1606.24,1.07,352.94,676.55
2021-10-05,2345.7,485.25,3.47,263.25,196.98,540.36,1276.29,1.3,391.81,1241.23
2021-10-06,2231.99,48.61,8.18,254.82,166.71,399.57,1255.5,0.48,390.37,506.25
2021-10-07,2243.03,222.66,4.91,267.66,173.9,410,325.54,2.93,362.58,678.07
2021-10-08,2391.12,194.7,7.12,210.87,167.7,533.28,447.86,0.72,491.21,1002.56
2021-10-09,3066.87,35.44,9.55,304.81,303.78,333.91,789.33,4.95,627.06,620.58
2021-10-10,3209.87,46.63,6.66,412.13,504.27,224.89,478.28,1.41,587.23,846.48
2021-10-11,2133.94,88,6.88,288.06,183.53,602.5,701.04,7.63,378.72,683.99
2021-10-12,2145.04,353.13,13.33,340.7,137.95,531.76,240.17,0.59,285.78,509.88
2021-10-13,1997.76,185.09,26.48,365.13,204.77,476.18,310.16,1.6,259.44,450.52
2021-10-14,2176.13,196.68,15.43,228.55,200.23,502.56,341.68,0.36,415.9,500.02
2021-10-15,2499.48,244.19,21.36,335.8,287.44,682.78,341.78,2.43,393.67,1726.05
2021-10-16,3155.98,175.26,18.13,395.77,432.17,537.29,1229.89,3.07,655.72,1100.88
2021-10-17,2857.59,76.55,22.09,361.75,484.53,184.8,577.19,3.72,653.99,781
2021-10-18,2186.03,830.76,21.68,297.76,348.61,610.46,686.23,6.71,479.35,884.27
2021-10-19,2221.31,156.22,23.41,377.53,320.46,423.8,332.71,1.23,363.19,710.16
2021-10-20,2369.99,324.99,31.97,298.85,336.02,638.78,346.58,2.63,381.21,939.78
2021-10-21,2240.03,100.14,55.38,294.75,351.6,479.75,410.24,1.29,482.54,1269.15
2021-10-22,2216.25,273.78,39.63,257.7,316.59,593.39,436.49,1.48,374.68,888.23
2021-10-23,3220.38,150.54,51.6,496.81,567.3,391.17,486.82,2.52,556.6,841.68
2021-10-24,3050.44,81.97,31.74,573.98,581.93,209.66,1157.44,0.88,692.99,1046.53
2021-10-25,2225.23,606.36,17.6,409.98,331.33,753.69,354.98,4.99,401.52,2574.92
2021-10-26,2367.96,175.43,34.85,316.52,286.83,572.75,925.64,7,467.73,1151.84
2021-10-27,2253.55,109.93,36.96,400.79,250.62,426.12,1803.49,1.84,447.92,802.63
2021-10-28,2265.02,950.24,22.72,352.22,268.44,440.58,321.03,1.14,480.8,985.19
2021-10-29,2392.1,456.66,31.4,274.61,312.58,600.74,447.49,0.68,392.34,1038.71
2021-10-30,3135.87,391.55,16.08,516.01,402.65,732.21,477.66,2.05,874.95,1063.92
2021-10-31,2903.01,194.85,19.91,458.03,484.54,319.06,704.45,3.01,645.65,742.75
2021-11-01,2379.56,237.21,42.82,319.35,271.07,617.14,1352.6,0.4,545.35,2484.27
2021-11-02,2351.62,141.77,21.77,263.2,246.29,573.11,442.78,1.88,469.26,731.9
2021-11-03,2875.03,24.96,23.97,568.27,471.78,198.88,709.98,2.24,533.86,1105.18
2021-11-04,2260.27,410.54,15.09,245.68,322.3,437.73,472.37,0.99,340.47,820.47
2021-11-05,2374.92,335.79,21.52,295.94,244.84,753.19,862.66,0.74,486.97,1096.09
2021-11-06,3152.13,54.5,36.75,397.59,538.81,490.82,950.67,0.74,709.71,952.31
2021-11-07,3060.45,42.58,32.19,382.94,492.48,203.68,520.1,3.02,638.98,1020.96
2021-11-08,2244.61,98.77,41.08,688.22,218.43,566.75,391.53,1.03,394.11,625.72
2021-11-09,2006.2,248.99,7.64,254.91,223.61,438.07,276.58,0.9,287.69,527.68
2021-11-10,2356.6,716.02,16.68,417.78,332.26,631.16,463.65,0.77,524.87,999.38
2021-11-11,2197.79,97.58,23.95,331.88,324.64,465.06,317.8,0.33,379.4,563.62
2021-11-12,2369.69,102.87,19.08,260.91,278.59,902.49,912.33,1.9,458.85,951.45
2021-11-13,3134.21,97.06,49.35,450.16,560.85,491.11,729.3,1.49,578.25,770.97
2021-11-14,2943.22,28,17.84,369.6,437.29,175.93,616.9,2.04,742.79,872.49
2021-11-15,2192.33,375.99,34.17,273.52,331.93,566.66,1010.44,1.32,418.51,1053.03
2021-11-16,2398.6,132.96,49.6,337.69,219.21,610.2,738.98,4.4,484.54,1477.09
2021-11-17,2312.14,171.4,21.58,266.25,264.5,472.89,471.2,0.3,375.02,1267.13
2021-11-18,2280.36,108.95,46.98,398.94,281.68,411.32,1816.49,0.82,513.85,786.6
2021-11-19,2479.04,800.97,26,420.46,361.11,647.23,608.59,1.45,529.41,1420.8
2021-11-20,3358.46,730.06,32.08,529.59,549.61,452.14,786.07,3.14,835.74,1055.42
2021-11-21,3175.09,126.89,51.88,499.32,714.49,207.97,562.75,2.26,780.01,1535.23
2021-11-22,2068.81,273.77,32.1,256.14,241.92,600.34,418.29,4.72,407.25,942.79
2021-11-23,2898.16,27.06,24.74,470.17,625.54,144.77,450.58,1.28,560.18,713.21
2021-11-24,2284.9,86.37,60.91,334.32,360.11,516.47,1087.97,0.16,354.16,754.75
2021-11-25,2564.42,342.18,34.38,334.19,357.47,668.24,836.36,1.61,463.55,2671
2021-11-26,2535.47,183.66,37.37,377.04,362.72,649.42,1376.99,3.34,524.57,1138.04
2021-11-27,3021.43,123.63,55.5,534.38,544.03,694.57,814.63,5.07,868.54,926.75
2021-11-28,3063.54,52.74,55.13,466.89,562.82,191.54,486.41,0.55,708.69,929.69
2021-11-29,2308.74,654.68,74.12,431.66,310.01,546.51,633.36,6.81,483.12,1286.32
2021-11-30,2322.92,265.56,60.21,284.04,234.51,567,497.56,3.18,394.23,821.75
2021-12-01,2549.46,1977.75,55.57,393.15,231.36,603.69,878.91,5.21,450.35,2860.71
2021-12-02,2466.94,102.35,41.98,325,264.61,620.53,576.04,2.08,510.81,949.8
2021-12-03,2576.34,63.84,24.34,297.24,318.3,511.88,546.51,2.41,406.54,1275.12
2021-12-04,3365.57,247.88,53.21,425.47,487.36,469.15,574.32,5.42,763.08,947.38
2021-12-05,3435.58,46.34,57.27,813.84,624.61,284.84,669.21,5.01,866.22,1280.21
2021-12-06,2298.27,102.85,52.52,284.34,231.58,540.36,1447.97,2.47,593.56,1037.84
2021-12-07,2317.24,232.42,66.14,240.47,243.87,553.15,458.68,9.49,466.88,1013.94
2021-12-08,2263.2,191.39,39.79,310.49,279.47,543.78,351.89,0.54,432.37,747.21
2021-12-09,2557.11,145.24,55.22,354.25,252.11,475.33,506.18,2.19,481.97,773.25
2021-12-10,2760.13,306.15,48.59,348.78,373.68,710.17,917.2,8.44,615.32,2085.29
2021-12-11,3413.46,462.29,50.8,445.34,427.38,523.03,581.09,4.46,737.19,1104.41
2021-12-12,3127.3,90.37,41.54,592.26,657.63,169.91,738.92,1.52,841.63,1084.59
2021-12-13,2249.77,83.03,39.79,365.06,196.71,502.9,895.72,8.18,408.96,994.3
2021-12-14,2257.09,271.6,52.06,248.07,208.57,574.44,734.74,3.85,379.75,625.83
2021-12-15,2687.87,850.44,61.55,311.13,276.46,458.81,461.24,0.8,455.69,1889.09
2021-12-16,2694.33,247.88,75.99,400.93,311.4,546.34,679.3,0.58,705.22,1638.41
2021-12-17,2530.22,475.59,54.89,366.08,296.03,560.78,594.22,1.84,550.26,1343.52
2021-12-18,3225.45,232.9,68.69,521.89,657.99,543.83,631.75,4.12,756.49,1329.69
2021-12-19,3438.32,176.18,96.12,560.6,591.4,156.83,690.15,4.75,707.6,926.08
2021-12-20,2638.98,408.05,86.95,371.51,262.68,759.19,782.42,3.19,511.14,1356.26
2021-12-21,2552.33,989.87,91.76,367.09,267.22,516.76,463.22,4.13,519.13,1197.21
2021-12-22,2762.91,326.81,64.1,408,374.04,657.89,799.02,1.27,476.71,982.5
2021-12-23,2667.32,658.93,58.15,346.23,305.89,536.05,820.04,2.16,557.62,955.47
2021-12-24,3894.09,1121.35,72.26,482.89,310.68,555.15,646.38,3.73,637.32,1723.5
2021-12-25,3825.29,308.39,79.82,456.73,486.6,514.18,886.95,5.4,792.88,1442.89
2021-12-26,3478.82,266.71,51.89,534.7,484.36,249.91,761.95,2.45,816.61,902.2
2021-12-27,3228.08,310.97,91.12,391.51,362.92,529.76,504.34,17.46,706.99,1487.76
2021-12-28,3948.72,174.06,78.24,448.05,359.68,541.68,620.56,2.02,817.13,1154.87
2021-12-29,4864.84,693.09,109.59,449.74,466.6,299.65,1245.71,2.28,825.15,1348.33
2021-12-30,6033.21,91.11,102.37,492.5,352.86,213.16,444.89,2.75,972.88,1490.46
2021-12-31,6023.03,88.37,63.66,446.48,343.84,139.41,331.14,0.45,679.91,1329.01
