Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-04-23,2301.18,51.56,26.72,230.5,103.44,366.92,287.42,5,266.1,793.87
2020-04-24,2676.81,647.32,35.88,303.04,100.68,476.79,1185.96,12.78,353.31,1950.95
2020-04-25,2672.35,874.95,35.05,299.58,156.79,434,339.68,15.98,494.18,1139.63
2020-04-26,2442.24,45.11,12.91,256.11,112.42,153.07,1429.97,3.44,488.12,568.57
2020-04-27,2319.86,511.67,35.63,239.71,133.16,467.5,437.82,17.94,408.7,1393.88
2020-04-28,2450.13,461.14,38.8,287.22,116.26,695.98,237.13,4.69,403.69,727.91
2020-04-29,2443.94,37.32,10.19,319.24,156.41,179.02,197.07,35.88,461.56,353.71
2020-04-30,2488.74,162.78,26.78,519.53,149.41,470.77,1021.21,7.36,373.57,930.4
2020-05-01,2721.31,93.81,12.73,370.78,198.33,477.98,676.18,27.92,482.74,2794.92
2020-05-02,2802.27,225.59,8.87,424.77,211.1,320.33,301,14.07,482.9,581.75
2020-05-03,2659.61,42.59,5.63,385.52,193.14,214.67,195.79,6.09,468.26,699.57
2020-05-04,2463.91,28.21,7.61,449.37,179.18,171.5,223.74,2.22,526.16,552.6
2020-05-05,2901.14,340.93,9.76,511.5,189.21,167.73,209.49,3.47,347.36,480.01
2020-05-06,2280.36,39.99,3.98,379.22,172.79,220.63,158.05,5.06,437.19,386.04
2020-05-07,2447.32,48.39,14.47,465.36,180.79,433.71,262.48,5.59,407.81,979.56
2020-05-08,2298.4,29.33,6.79,430.83,190.83,526.94,808.68,34.45,363.05,927.34
2020-05-09,2564.16,44.03,17.1,304.92,226.9,385.92,230.45,1.44,430.18,555.22
2020-05-10,2887.65,25.89,4.17,373.95,276.77,164.75,258.58,1.6,397.28,709.04
2020-05-11,2234.33,544.65,14.1,277.52,205.94,466.62,358.39,5.59,289.79,583.13
2020-05-12,2208.72,321.16,8.51,334.97,181.46,443.84,949.06,6.59,289.05,722.16
2020-05-13,2193.94,246.69,15.06,270,202.83,477.3,187.58,15.74,310.9,494.23
2020-05-14,2137.68,139.17,15.77,334.84,194.83,459.22,941.35,3.46,315.1,572.83
2020-05-15,2456.23,195.71,6.3,239.92,195.82,492.23,479.47,8.55,420.83,1308.46
2020-05-16,2597.39,154.58,8.92,550.94,334.4,495.52,660.34,4.83,705.06,1136.66
2020-05-17,2879.91,70.31,3.08,578.36,343.29,190.28,457.14,6.04,434.25,480.56
2020-05-18,2287.22,240.52,5.47,290.37,195.2,472.78,1043.92,13.52,296.05,837.88
